doc_id,text,p_green,u,llm_green_suggested,llm_confidence,llm_rationale,is_green_human
9166410,"1. A system that provides alternating current (AC) line balancing, comprising: a three-phase power source including a first AC line that provides a first phase current, a second AC line that provides a second phase current, and a third AC line that provides a third phase current; the first, second and third AC lines coupled to a first set of loads that are critical loads that are continuously powered loads for which the AC lines are not switched; a first transfer switch that is only coupled to the first AC line and the second AC line; a second transfer switch that is only coupled to the second AC line and the third AC line; a third transfer switch that is only coupled to the first AC line and the third AC line; the first, second, and third transfer switches are coupled to a second set of loads that are non-critical loads for which the AC lines may be switched, wherein the first second, and third transfer switches couple the first, second, and third AC lines to the second set of loads; a monitoring component that detects the first phase current, the second phase current and the third phase current provided by the first, second and third AC lines to the first and second sets of loads, and identifies a particular AC line from the first, second and third AC lines that provides a highest level of current to the first and second sets of loads; and a control component that configures at least one transfer switch of the first, second, or third transfer switches to couple an AC line other than the particular AC line to the second set of loads.",0.5000324367587519,0.9999351264824963,,,,
9398611,"1. A method of supporting channel access of an overriding station (STA) which does not belong to a group indicated by a traffic indication map (TIM) in a wireless communication system, the method comprising: receiving, by an access point (AP), a channel access request frame in a TIM interval from the overriding STA; and transmitting, by the AP, a response frame indicating whether the channel access is allowed to the overriding STA in response to the channel access request frame, wherein the TIM interval includes a group channel access interval corresponding to a bit set to 1 in a TIM bitmap for a group STA that belongs to the group and an overriding channel access interval corresponding to a bit set to 0 in a TIM bitmap for the overriding STA, and wherein the channel access is allowed when an association ID (AID) corresponding to the bit set to 0 exists.",0.4998672897592652,0.9997345795185304,,,,
8521195,"1. A method for paging a mobile station, the method comprising: before transmission of a page to a mobile station by an access network, the access network identifying concatenation that is being applied to the page, wherein the page comprises a page record that is transmitted in a general page message (GPM) by a base station in the radio access network, and wherein identifying the concatenation that is being applied to the page comprises determining how many page records can be included in the GPM; based at least in part on the concatenation that is being applied to the page, the access network selecting a page-transmission power for the page; and the access network transmitting the page to the mobile station at the selected page-transmission power.",0.499805002966231,0.999610005932462,,,,
9296953,"1. A system for removing hydrocarbons from sand, the system comprising: a first hopper configured to screen large debris from a contaminated sand source; a first inclined auger in fluid communication with the first hopper; a second hopper in fluid communication with the first inclined auger, the second hopper comprising a eductor; a first desanding unit in fluid communication with the second hopper; a first auger tank having a first compartment and a second compartment and a horizontal auger, wherein the first compartment is configured to receive an under flow from the first desanding unit and the second compartment is configured to receive an overflow from the first desanding unit; a second inclined auger in fluid communication with the horizontal auger; and a separator in fluid communication with the first auger tank and configured to receive a hydrocarbon overflow from the first auger tank.",0.49978986233272255,0.9995797246654451,,,,
9170689,"1. A touch panel comprising a touch screen including a plurality of detection wirings arrayed in parallel; and parasitic capacitance setting wiring that is arrayed only in an outer periphery of said touch screen and configured to set parasitic capacitances of an outermost detection wiring out of said plurality of detection wirings equivalent to parasitic capacitances of other detection wirings, wherein the other detection wirings are interior of the outer periphery of said touch screen, said outer periphery of said touch screen surrounding the plurality of detection wirings, said parasitic capacitance setting wiring includes one or more dummy wirings arrayed at further outer side of said outermost detection wiring, in parallel with said outermost detection wirings, shapes and widths of said dummy wirings are the same as those of said plurality of detection wirings, and an interval between one of said dummy wirings and said outermost detection wiring is the same as an interval between said plurality of detection wirings.",0.49972637931896385,0.9994527586379277,,,,
9667408,"1. A sampling device for use in a distributed power measurement system, the sampling device comprising: a delta-sigma modulator for sampling a power system quantity to generate a bitstream of delta-sigma modulated sample data; a link interface to send and receive data using a high-speed isochronous data link; a clock circuit to generate a local clock signal; a data storage element to store a sequence number associated with a time-stamp packet received over the link interface; a counter clocked by the local clock signal to determine an offset time between receipt of the time-stamp packet and transmission of framed output data; and a framing controller to generate the framed output data for transmission over the isochronous data link, wherein the framed output data includes the sequence number, the offset time, and the delta-sigma modulated sample data, wherein the counter is to preload a value when resetting the offset time, and wherein the value includes propagation delay within the sampling device between receiving the time-stamp packet and resetting the offset time.",0.500385120799293,0.999229758401414,,,,
9224962,"1. A luminescent gold(III) compound comprising the chemical structure represented by the following general formula, wherein: (a) [Au] is a cyclometalated tridentate gold(III) group; (b) Unit A is a σ-donating chemical group; (c) Unit B is a central part of the dendrons comprising a branch point of component dendrimers; (d) Unit C is optional surface groups or dendrons of the dendrimers; (e) n=0 or 1.",0.5005186463902983,0.9989627072194034,,,,
9586971,1. An isolated green sulfur bacterium Chlorobaculum limnaeum strain RK-j-1 deposited at National Institute of Technology and Evaluation Patent Microorganisms Depositary (NPMD) as accession number NITE BP-1202.,0.5006139167954197,0.9987721664091607,,,,
8778860,"1. A cleaning composition comprising: from 0.1 to 3.0 wt % of a mixture of surfactants including dicaprylyl ether, hexyl glucoside and glyceryl oleate; from 0.25 to 3.0 wt % alkylpolyglycoside; from 0.1 to 3.0 wt % sodium coco sulfate; at least one essential oil; and water.",0.5006393214819531,0.9987213570360938,,,,
8804377,"1. A circuit, comprising: a control circuit having:",0.49934726182133243,0.9986945236426649,,,,
8585521,"1. A transmission comprising: an input member; an output member; a stationary member; a first and a second planetary gear set each having a first member, a second member and a third member; a power-split unit including the first planetary gear set and having: a ratio-changing unit including the second planetary gear set and having:",0.5007044597594487,0.9985910804811027,,,,
9326938,"1. An oligomer-contained nanoparticle complex, comprising: a) a nanoparticle; b) a polymer, wherein the polymer is an amphiphilic polymer having a hydrophilic and a hydrophobic group, and the hydrophobic group is inserted on the outside of the nanoparticle; c) a targeting molecule, wherein an end of the targeting molecule is bonded with the hydrophilic segment of the polymer by intermolecular hydrogen bonds; d) an oligomer, wherein the oligomer is hydrophilic or charged, and two ends of the oligomer are conjugated by covalent bonds with the targeting molecule, and e) a space for active substances, wherein the space for active substances is encapsulated by the nanoparticle.",0.4992727206164357,0.9985454412328714,,,,
9126894,"1. An electrochemical gas sensor assembly comprising: a housing; a first and a second electrode positioned within the housing; a substantially solvent-free, ionic liquid electrolyte contained within the housing in electrical contact with the electrodes; and a gas access port, wherein the substantially solvent-free, ionic liquid electrolyte comprises methyl-octyl-imidazolium-chloride, or butyl-methyl-imidazolium-bis-trifluoromethane-sulfonimide, or mixtures thereof, wherein the substantially solvent-free, ionic liquid electrolyte is substantially free of additives wherein the substantially solvent-free, ionic liquid electrolyte is weight-stable after remaining 5 days at a temperature of 80° C.",0.5007432083089408,0.9985135833821184,,,,
9098643,"1. A serial bus interface circuit, comprising: at least two serial ports; a memory to store a relationship between serial bus addresses and the at least two serial ports; and a controller to control access to the at least two serial ports, wherein the controller is configured to:",0.500965535837464,0.9980689283250721,,,,
9082680,"1. A solder joint structure, comprising: a lower via plug in a lower substrate; a lower seed layer on the lower via plug, the lower seed layer comprising copper; a lower metal bump directly on the lower seed layer, the lower metal bump comprising an upper portion and a lower portion; a soldering unit; an organic preservative film comprising an organic metal compound; and an upper metal bump on the soldering unit, wherein the upper portion of the lower metal bump and the upper metal bump comprise copper, wherein sidewalls of the upper portion of the lower metal bump are vertically aligned with sidewalls of the lower portion of the lower metal bump, wherein the soldering unit is directly coupled to at least a portion of a top surface of the upper portion of the lower metal bump, wherein the organic preservative film is disposed on at least one lateral surface of the upper portion of the lower metal bump, and wherein the organic preservative film is not disposed on the lower portion of the lower metal bump and surfaces of the upper metal bump.",0.4989646893476004,0.9979293786952008,,,,
8587109,"1. An assembly of microelectronic devices, comprising: a support member having support member circuitry; a first microelectronic die package attached to the support member and including a first die and a first substrate coupling the first die to the support member circuitry with first conductive members, wherein the first substrate has a first planform shape; and a second microelectronic die package attached to the first die package and including a second die and a second substrate, the second substrate coupling the second die to the support member circuitry with second conductive members, wherein the second substrate has a second planform shape that extends at least partially beyond the first planform shape, and wherein the second conductive members are positioned within the second planform shape.",0.4989129338149238,0.9978258676298476,,,,
8472370,"1. A method for restoring a clock of a second node in a communication system with a symmetric network construction of a first node configured to receive a Global Positioning System (GPS) signal, the second node not configured to receive the GPS signal, the method comprising: receiving synchronization information from the first node; determining a delay of the clock relative to the first node; generating the clock using the synchronization information and the delay; removing a clock phase that is out of a reference range in a phase identification interval; dividing the phase identification interval into at least two subdivision intervals; selecting a minimum clock phase value from each subdivision interval; and removing the minimum clock phase value that is out of a specified normal operation range for each subdivision interval.",0.49870222098287453,0.9974044419657491,,,,
